	  ID		  PRINCIPAL_INVESTIGATOR	 ORGANIZATION		       EXPERIMENT	 1st_DATE  1st_LAT  1st_LON 	 END_DATE  END_LAT  END_LON	 TYPE	 FILENAME
    10200901	                        K.Leaman	     RSMAS	                   ABACO	2006-03-17  29.712  -75.464	2006-05-15  27.959  -75.357	RAFOS	ab901.nc
    10200902	                        K.Leaman	     RSMAS	                   ABACO	2006-03-17  29.717  -75.464	2006-05-15  27.966  -75.470	RAFOS	ab902.nc
    10200903	                        K.Leaman	     RSMAS	                   ABACO	2006-07-01  26.499  -76.666	2006-12-17  25.229  -75.174	RAFOS	ab903.nc
    10200904	                        K.Leaman	     RSMAS	                   ABACO	2006-07-01  26.501  -76.452	2006-12-17  25.360  -74.334	RAFOS	ab904.nc
    10200905	                        K.Leaman	     RSMAS	                   ABACO	2007-09-09  26.458  -76.379	2008-02-25  21.975  -72.312	RAFOS	ab905.nc
    10200910	                        K.Leaman	     RSMAS	                   ABACO	2007-10-31  26.504  -76.459	2008-04-17  29.234  -71.447	RAFOS	ab910.nc
    10200912	                        K.Leaman	     RSMAS	                   ABACO	2008-03-09  26.592  -76.820	2008-08-24  21.783  -71.550	RAFOS	ab912.nc
    10200915	                        K.Leaman	     RSMAS	                   ABACO	2008-11-16  26.571  -76.553	2009-11-13  28.048  -74.927	RAFOS	ab915.nc
    10200916	                        K.Leaman	     RSMAS	                   ABACO	2008-06-07  26.089  -76.715	2009-04-26  19.766  -67.901	RAFOS	ab916.nc
    10200919	                        K.Leaman	     RSMAS	                   ABACO	2008-09-24  26.461  -76.432	2009-09-15  27.534  -71.384	RAFOS	ab919.nc
    10200920	                        K.Leaman	     RSMAS	                   ABACO	2008-11-16  26.657  -76.330	2009-03-08  22.998  -72.097	RAFOS	ab920.nc
    10200921	                        K.Leaman	     RSMAS	                   ABACO	2008-11-16  26.493  -76.663	2009-11-12  21.441  -68.840	RAFOS	ab921.nc
    10200923	                        K.Leaman	     RSMAS	                   ABACO	2008-09-28  26.153  -76.592	2009-04-24  21.095  -69.185	RAFOS	ab923.nc
    10200924	                        K.Leaman	     RSMAS	                   ABACO	2008-09-27  26.309  -76.093	2009-09-19  24.775  -70.185	RAFOS	ab924.nc
    10200925	                        K.Leaman	     RSMAS	                   ABACO	2009-04-05  26.525  -76.520	2010-04-02  31.564  -73.107	RAFOS	ab925.nc
    10200926	                        K.Leaman	     RSMAS	                   ABACO	2009-05-25  26.342  -76.366	2010-05-20  25.218  -71.750	RAFOS	ab926.nc
    10200927	                        K.Leaman	     RSMAS	                   ABACO	2009-01-25  26.659  -76.440	2009-12-07  21.436  -70.379	RAFOS	ab927.nc
    10200928	                        K.Leaman	     RSMAS	                   ABACO	2009-04-06  26.541  -76.484	2010-04-03  27.617  -74.521	RAFOS	ab928.nc
    10200929	                        K.Leaman	     RSMAS	                   ABACO	2009-04-05  26.496  -76.661	2010-04-02  22.719  -67.955	RAFOS	ab929.nc
    10200931	                        K.Leaman	     RSMAS	                   ABACO	2009-01-24  26.508  -76.665	2010-01-21  24.245  -69.717	RAFOS	ab931.nc
    10200933	                        K.Leaman	     RSMAS	                   ABACO	2009-05-26  26.324  -76.527	2010-05-23  28.322  -73.495	RAFOS	ab933.nc
    10200935	                        K.Leaman	     RSMAS	                   ABACO	2009-08-11  26.488  -76.439	2010-08-08  20.979  -67.945	RAFOS	ab935.nc
    10200936	                        K.Leaman	     RSMAS	                   ABACO	2009-08-12  26.495  -76.497	2010-08-09  27.132  -74.426	RAFOS	ab936.nc
   103070077	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-03-31  59.999  -38.405	2017-08-28  44.473  -38.629	PALACE	acg77.nc
   103070078	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-03-31  60.006  -36.618	2018-01-16  48.050  -26.369	PALACE	acg78.nc
   103070079	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-04-02  58.028  -40.425	2014-07-08  61.223  -40.783	PALACE	acg79.nc
   103070080	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-04-01  59.983  -40.508	2017-08-01  59.945  -50.993	PALACE	acg80.nc
   103070081	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-04-04  54.091  -33.380	2013-05-15  55.511  -30.862	PALACE	acg81.nc
   103070082	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-04-03  56.975  -38.332	2014-06-10  59.279  -34.035	PALACE	acg82.nc
   103070083	                       W.J.Gould	       SOC	       ACCE Irminger Sea	2013-04-03  55.901  -36.402	2018-03-02  56.099  -17.885	PALACE	acg83.nc
   103120022	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-13  26.996  -49.998	2018-03-02  27.868  -57.403	PALACE	acl22.nc
   103120044	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-24  21.567  -61.985	2018-03-04  36.997  -50.042	PALACE	acl44.nc
   103120045	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-02  21.590  -20.844	2018-03-01  19.233  -49.481	PALACE	acl45.nc
   103120050	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-15  27.017  -61.967	2018-03-04  25.084  -73.356	PALACE	acl50.nc
   103120051	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-19  21.582  -67.990	2018-02-27  23.438  -62.777	PALACE	acl51.nc
   103120052	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-27  21.582  -49.990	2018-02-02  19.572  -58.593	PALACE	acl52.nc
   103120053	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-01  21.589  -25.998	2018-02-28  22.686  -46.442	PALACE	acl53.nc
   103120054	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-29  21.580  -38.004	2018-02-26  22.109  -36.798	PALACE	acl54.nc
   103120055	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-06  26.975  -22.172	2018-03-06  28.002  -30.310	PALACE	acl55.nc
   103120056	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-10  27.004  -38.024	2018-02-27  24.748  -42.447	PALACE	acl56.nc
   103120057	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-07  27.003  -26.004	2018-03-07  29.662  -43.035	PALACE	acl57.nc
   103120058	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-08  26.911  -31.087	2018-02-15  28.499  -44.190	PALACE	acl58.nc
   103120059	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-26  21.581  -56.004	2015-04-27  23.123  -58.894	PALACE	acl59.nc
   103120061	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-04-14  26.986  -55.994	2014-08-21  27.448  -57.947	PALACE	acl61.nc
   103120063	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-03-30  21.559  -32.011	2015-02-27  22.874  -33.784	PALACE	acl63.nc
   103120071	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-06  16.008  -51.037	2018-03-06  22.588  -58.943	PALACE	acl71.nc
   103120072	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-07  16.016  -46.347	2018-03-08  15.212  -44.589	PALACE	acl72.nc
   103120073	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-08  15.992  -41.708	2018-03-08  20.732  -48.652	PALACE	acl73.nc
   103120074	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-09  16.022  -36.979	2018-03-09  21.084  -40.141	PALACE	acl74.nc
   103120075	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-10  19.932  -36.954	2018-02-27  23.209  -57.352	PALACE	acl75.nc
   103120076	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-11  19.996  -40.708	2018-02-28  21.532  -44.191	PALACE	acl76.nc
   103120077	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-12  20.018  -44.335	2018-03-01  20.900  -41.985	PALACE	acl77.nc
   103120078	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-13  20.007  -48.012	2016-12-16  21.101  -51.912	PALACE	acl78.nc
   103120079	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-13  24.014  -48.019	2018-03-02  19.282  -63.974	PALACE	acl79.nc
   103120080	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-15  24.078  -44.381	2018-01-12  25.651  -46.241	PALACE	acl80.nc
   103120081	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-17  24.392  -40.909	2018-03-09  28.515  -53.927	PALACE	acl81.nc
   103120082	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-16  23.996  -36.999	2018-03-06  25.298  -42.152	PALACE	acl82.nc
   103120084	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-18  27.987  -41.661	2017-05-31  26.938  -51.444	PALACE	acl84.nc
   103120085	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-19  28.006  -46.274	2018-03-08  31.396  -51.747	PALACE	acl85.nc
   103120086	                        K.Leaman	     RSMAS	        Subtropical ACCE	2014-10-19  27.977  -50.987	2018-03-10  29.353  -55.139	PALACE	acl86.nc
   103120088	                        K.Leaman	     RSMAS	        Subtropical ACCE	2015-04-05  16.022  -50.257	2018-03-04  19.320  -52.199	PALACE	acl88.nc
   103120089	                        K.Leaman	     RSMAS	        Subtropical ACCE	2015-04-04  16.013  -45.017	2018-03-03  11.998  -59.756	PALACE	acl89.nc
103130012272	                      R.Molinari	      AOML	               AOML ACCE	2014-01-14  -5.555  -28.042	2018-01-05  -13.543  -35.115	PALACE	acm12272.nc
103130012274	                      R.Molinari	      AOML	               AOML ACCE	2014-01-02  0.236  -19.688	2018-01-05  4.118  -29.825	PALACE	acm12274.nc
